code,code_digits,name_fr,name_ar,region_code,province_code,population_2024,households_2024,communes
09.541.04,0954104,Oulad Berhil,أولاد برحيل,09,09.541,128988,31006,17
09.541.07,0954107,Taliouine,تالوين,09,09.541,100164,23329,15
09.581.09,0958109,Tafraout,تافراوت,09,09.581,13152,4801,6
09.581.03,0958103,Anezi,أنزي,09,09.581,33130,10084,9
09.581.11,0958111,Tiznit,تيزنيت,09,09.581,59541,17217,8
09.551.03,0955103,Akka,أقا,09,09.551,15987,3972,4
09.551.07,0955107,Tata,طاطا,09,09.551,23898,6002,6
09.551.05,0955105,Fom Zguid,فم زكيد,09,09.551,32185,6805,6
10.261.03,1026103,Bouizakarne,بويزكارن,10,10.261,33668,8451,7
10.261.05,1026105,Guelmim,كلميم,10,10.261,8504,1979,4
10.261.07,1026107,Laqsabi,لقصابي,10,10.261,9330,2364,7
10.071.03,1007103,Assa,آسا,10,10.071,12745,1330,3
10.071.05,1007105,Zag,الزاك,10,10.071,20196,387,2
10.521.05,1052105,Tan-Tan,طانطان,10,10.521,1879,337,3
10.521.03,1052103,Msied,لمسيد,10,10.521,2248,457,2
10.473.05,1047305,Ifni,إفني,10,10.473,27087,7104,7
10.473.07,1047307,Lakhsas,الأخصاص,10,10.473,39387,10807,9
11.321.03,1132103,Laâyoune,العيون,11,11.321,3916,1280,3
11.121.03,1112103,Jraifia,جريفية,11,11.121,8021,614,3
11.537.03,1153703,Daoura-El Hagounia,الدورة-الحكونية,11,11.537,1463,531,2
11.537.05,1153705,Tarfaya,طرفاية,11,11.537,3735,1075,2
11.221.03,1122103,Es-Semara,السمارة,11,11.221,17257,398,5
12.391.09,1239109,El Argoub,العركوب,12,12.391,15527,5216,2
12.391.05,1239105,Bir Anzarane,بئر أنزران,12,12.391,14477,1123,4
12.066.05,1206605,Bir Gandouz,بئر كندوز,12,12.066,9183,1122,1
12.066.03,1206603,Aousserd,أوسرد,12,12.066,12188,565,4
