code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.051.07.05,010510705,bni-ammart,Bni Ammart,بني عمارت,rural,01,01.051,01.051.07,5583,1242,6654,-16.1,137.9,40.49
01.051.07.19,010510719,sidi-boutmim,Sidi Boutmim,سيدي بوتميم,rural,01,01.051,01.051.07,8462,1886,9988,-15.28,123.01,68.79
01.051.07.27,010510727,zarkt,Zarkt,زرقت,rural,01,01.051,01.051.07,5601,1178,6691,-16.29,104.45,53.62
01.051.07.07,010510707,bni-bchir,Bni Bchir,بني ابشير,rural,01,01.051,01.051.07,5401,1078,6527,-17.25,117.61,45.92
01.051.07.11,010510711,bni-bounsar,Bni Bounsar,بني بونصار,rural,01,01.051,01.051.07,6498,1357,7660,-15.17,134.7,48.24
01.051.07.03,010510703,bni-ahmed-imoukzan,Bni Ahmed Imoukzan,بني احمد اموكزان,rural,01,01.051,01.051.07,7580,1617,9086,-16.57,83.53,90.75
01.051.09.25,010510925,tamsaout,Tamsaout,تامساوت,rural,01,01.051,01.051.09,12856,2761,13711,-6.24,72.75,176.72
01.051.09.15,010510915,ketama,Ketama,كتامة,rural,01,01.051,01.051.09,16690,3699,17351,-3.81,114.22,146.12
01.051.09.17,010510917,moulay-ahmed-cherif,Moulay Ahmed Cherif,مولاي احمد الشريف,rural,01,01.051,01.051.09,9357,1836,9765,-4.18,91.92,101.79
01.051.09.13,010510913,issaguen,Issaguen,اساكن,rural,01,01.051,01.051.09,17834,3903,17095,4.32,135.38,131.74
01.051.09.09,010510909,bni-bouchibet,Bni Bouchibet,بني بوشيبت,rural,01,01.051,01.051.09,8909,1826,9032,-1.36,91.59,97.27
01.051.09.23,010510923,taghzout,Taghzout,تاغزوت,rural,01,01.051,01.051.09,4116,993,5132,-19.8,52.82,77.93
01.051.09.01,010510901,abdelghaya-souahel,Abdelghaya Souahel,عبد الغاية السواحل,rural,01,01.051,01.051.09,24435,5156,25817,-5.35,227.02,107.63
01.151.01.01,011510101,chefchaouen,Chefchaouen,شفشاون,urban,01,01.151,,46168,12474,42786,7.9,16.4,2815.24
01.151.03.03,011510303,bab-berred,Bab Berred,باب برد,rural,01,01.151,01.151.03,24743,5557,25872,-4.36,173,143.03
01.151.03.13,011510313,iounane,Iounane,اونان,rural,01,01.151,01.151.03,19494,3966,25021,-22.09,146.92,132.69
01.151.03.23,011510323,tamorot,Tamorot,تمروت,rural,01,01.151,01.151.03,24258,5304,26748,-9.31,223.68,108.45
01.151.09.01,011510901,amtar,Amtar,امتار,rural,01,01.151,01.151.09,8568,1814,10574,-18.97,103.17,83.05
01.151.09.17,011510917,m-tioua,M'tioua,متيوة,rural,01,01.151,01.151.09,10336,2430,12812,-19.33,169.43,61.01
